colour	y	yend	x	xend	showSelectedlegendcolour	clickSelects	PANEL
#F8766D	0.0312280705153991	0.0312280705153991	-7.18920726048511	-0.726806118423457	control.vs.carbon.additions	control.vs.carbon.additions	1
#C49A00	0.27027960833434	0.27027960833434	-9.6910180309802	-6.87227631166784	controls.between.experiments	controls.between.experiments	1
#53B400	0.22379401019125	0.22379401019125	-8.14370725322302	-0.435040761169619	controls.between.sites	controls.between.sites	1
#00C094	0.00922922012969923	0.00922922012969923	-5.94498193074128	-0.774534162826934	dim.C.between.sites	dim.C.between.sites	1
#00B6EB	-0.0265956938175805	-0.0265956938175805	-3.89850226150548	-0.00519614663753434	dim.CN.combine.sites	dim.CN.combine.sites	1
#A58AFF	0.00456399586914436	0.00456399586914436	-3.20338555698221	-0.115428881141544	dim.compare.sites	dim.compare.sites	1
#FB61D7	0.0250826812061036	0.0250826812061036	-4.14520806633701	-0.873830696052463	dim.compare.treatments	dim.compare.treatments	1
#F8766D	0.0933351881610951	0.0933351881610951	-11.0421034974591	-3.66322399064908	control.vs.carbon.additions	control.vs.carbon.additions	2
#C49A00	0.621558739243669	0.621558739243669	-11.6126774619317	-10.5905778980001	controls.between.experiments	controls.between.experiments	2
#53B400	0.3094435191119	0.3094435191119	-9.35261137132579	-0.276844284699795	controls.between.sites	controls.between.sites	2
#00C094	0.0668083264316195	0.0668083264316195	-8.09696101953705	-0.327775773013154	dim.C.between.sites	dim.C.between.sites	2
#00B6EB	0.00280874076825436	0.00280874076825436	-2.25657811332905	-0.27431967865279	dim.CN.combine.sites	dim.CN.combine.sites	2
#A58AFF	0.0410094173713252	0.0410094173713252	-7.17406577317066	-1.79935031435151	dim.compare.sites	dim.compare.sites	2
#FB61D7	0.0750342693282964	0.0750342693282964	-9.27108819427377	-3.19451535403918	dim.compare.treatments	dim.compare.treatments	2
