y	yend	x	xend	clickSelects	PANEL
-0.00516478671844891	0.0686855502540384	-4.81949968184914	-4.81949968184914	control.vs.carbon.additions	1
0.0658217375880057	0.474737479080674	-8.28164717132402	-8.28164717132402	controls.between.experiments	1
-0.0353439881263271	0.809471148855579	-3.57501178488069	-3.57501178488069	controls.between.sites	1
-0.0403379715896328	0.0510462821522907	-3.09249369495059	-3.09249369495059	dim.C.between.sites	1
-0.0383534848651309	9.19924728980615e-05	-2.61428992959324	-2.61428992959324	dim.CN.combine.sites	1
-0.00677132517161283	0.0157281955697573	-1.55715510421907	-1.55715510421907	dim.compare.sites	1
-0.00559643506295067	0.0567665795729587	-3.05119609535962	-3.05119609535962	dim.compare.treatments	1
0.023043692671954	0.138303511307963	-8.10906137543608	-8.10906137543608	control.vs.carbon.additions	2
0.389194984531823	0.853922493955515	-11.1016276799659	-11.1016276799659	controls.between.experiments	2
-0.0255580177199072	1.03312164145361	-4.35727492087315	-4.35727492087315	controls.between.sites	2
-0.0289671214813665	0.151357025948807	-3.86228480640822	-3.86228480640822	dim.C.between.sites	2
-0.0182294636855603	0.0426970691270407	-1.22787241608416	-1.22787241608416	dim.CN.combine.sites	2
0.0148018643549998	0.0689568919656712	-4.5255417985394	-4.5255417985394	dim.compare.sites	2
0.0203624717590598	0.114274150513879	-6.0086375983465	-6.0086375983465	dim.compare.treatments	2
